,spot,fut_near,fut_far,basis_near,basis_far,basis_pct_near,basis_pct_far,fut_30d,basis_pct_30d
SIEMENS,7008.85,7026.15,7056.55,17.3,47.7,0.25,0.68,7026.15,3.0
SRF,2555.6,2554.15,2568.25,-1.45,12.65,-0.06,0.49,2554.15,-0.69
SUNPHARMA,1789.4,1784.45,1795.35,-4.95,5.95,-0.28,0.33,1784.45,-3.37
SUNTV,813.05,815.4,818.8,2.35,5.75,0.29,0.71,815.4,3.52
SYNGENE,826.3,828.55,829.95,2.25,3.65,0.27,0.44,828.55,3.31
TATACHEM,1086.8,1089.15,1092.8,2.35,6.0,0.22,0.55,1089.15,2.63
TATACOMM,1946.15,1946.5,1957.65,0.35,11.5,0.02,0.59,1946.5,0.22
TATACONSUM,1209.6,1211.1,1213.15,1.5,3.55,0.12,0.29,1211.1,1.51
TATAMOTORS,1077.25,1075.8,1079.6,-1.45,2.35,-0.13,0.22,1075.8,-1.64
TATAPOWER,428.15,428.5,431.1,0.35,2.95,0.08,0.69,428.5,0.99
TATASTEEL,154.7,154.97,155.72,0.27,1.02,0.17,0.66,154.97,2.12
TCS,4497.15,4500.75,4528.4,3.6,31.25,0.08,0.69,4500.75,0.97
TECHM,1624.6,1620.35,1628.8,-4.25,4.2,-0.26,0.26,1620.35,-3.18
TITAN,3551.25,3546.25,3567.8,-5.0,16.55,-0.14,0.47,3546.25,-1.71
TORNTPHARM,3362.0,3369.7,3358.2,7.7,-3.8,0.23,-0.11,3369.7,2.79
TRENT,6869.9,6861.6,6902.4,-8.3,32.5,-0.12,0.47,6861.6,-1.47
TVSMOTOR,2741.1,2743.1,2759.9,2.0,18.8,0.07,0.69,2743.1,0.89
UBL,2031.7,2036.0,2025.9,4.3,-5.8,0.21,-0.29,2036.0,2.58
ULTRACEMCO,11300.35,11307.6,11373.2,7.25,72.85,0.06,0.64,11307.6,0.78
UNITDSPR,,1428.5,1437.25,,,,,1428.5,
UPL,582.95,582.25,585.6,-0.7,2.65,-0.12,0.45,582.25,-1.46
VEDL,463.9,464.15,466.8,0.25,2.9,0.05,0.63,464.15,0.66
VOLTAS,1743.25,1738.25,1737.2,-5.0,-6.05,-0.29,-0.35,1738.25,-3.49
WIPRO,517.15,518.25,520.7,1.1,3.55,0.21,0.69,518.25,2.59
ZYDUSLIFE,1114.25,1113.55,1119.4,-0.7,5.15,-0.06,0.46,1113.55,-0.76
