,current_close,prev_expiry_close,prev_expiry_high,prev_expiry_low,current_oi,prev_expiry_oi,current_basis,prev_expiry_basis,price_change,oi_pct_change,basis_change,expiry_signal
INDIGO,4820.05,4759.65,4759.65,4220.8,9903000.0,10362300.0,0.67,0.76,1.27,-4.43,-0.09,price above high
INDUSINDBK,1453.45,1417.45,1438.0,1342.8,32499000.0,35333500.0,0.4,0.46,2.54,-8.02,-0.06,price above high
INDUSTOWER,441.55,446.55,450.25,404.65,79498800.0,81147800.0,0.7,0.76,-1.12,-2.03,-0.06,price below close
INFY,1970.4,1933.35,1933.35,1748.25,42769600.0,48284000.0,0.25,0.49,1.92,-11.42,-0.23,price above high
IOC,179.58,176.83,184.17,163.86,189125625.0,196087125.0,0.59,0.78,1.56,-3.55,-0.19,price above close
IPCALAB,1385.95,1367.55,1404.95,1258.55,2567500.0,3279250.0,0.45,0.71,1.35,-21.7,-0.26,price above close
IRCTC,939.9,923.1,995.25,907.1,21931875.0,22348375.0,0.43,0.69,1.82,-1.86,-0.26,price above close
ITC,511.55,505.1,506.55,488.75,115744000.0,119089600.0,0.39,0.77,1.28,-2.81,-0.38,price above high
JINDALSTEL,968.4,960.5,990.75,907.95,13563750.0,14882500.0,0.43,0.8,0.82,-8.86,-0.37,price above close
JKCEMENT,4459.4,4445.35,4510.6,4103.85,572625.0,798500.0,-0.74,-2.23,0.32,-28.29,1.48,price above close
JSWSTEEL,944.0,939.7,965.7,866.05,20577375.0,22094775.0,0.48,0.74,0.46,-6.87,-0.26,price above close
JUBLFOOD,653.2,650.9,661.4,578.3,17623750.0,20232500.0,0.47,0.62,0.35,-12.89,-0.15,price above close
KOTAKBANK,1790.3,1777.25,1821.3,1752.6,37449600.0,37346000.0,0.68,0.76,0.73,0.28,-0.08,price above close
LALPATHLAB,3404.35,3358.75,3358.75,3018.75,1177200.0,1458900.0,0.35,0.21,1.36,-19.31,0.13,price above high
LAURUSLABS,464.15,457.8,466.85,420.6,24374600.0,28908500.0,0.45,0.73,1.39,-15.68,-0.27,price above close
LICHSGFIN,679.25,675.95,786.45,632.95,29985000.0,31495000.0,0.66,0.82,0.49,-4.79,-0.17,price above close
LT,3693.8,3683.45,3832.0,3546.8,18791400.0,19035600.0,0.41,0.7,0.28,-1.28,-0.29,price above close
LTF,171.55,170.39,181.84,160.65,89110602.0,91047110.0,0.52,0.7,0.68,-2.13,-0.18,price above close
